BRANCH1,SUBJECT,TITLE,CHANNEL,Video URL,ID,UNIT,YEAR,BRANCH
CSE,ENGINEERING PHYSICS,inadequacy of classical mechanics notes #short #btech,BTech Wala,https://www.youtube.com/watch?v=RhEob8SIhTI,1.0.1,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Quantization of Energy Part 1: Blackbody Radiation and the Ultraviolet Catastrophe,Professor Dave Explains,https://www.youtube.com/watch?v=7BXvc9W97iU,1.0.2,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Understanding Compton Scatter - X-ray Production and Safety,Clover Learning,https://www.youtube.com/watch?v=O-qDY4AYJRU,1.0.3,1,1,CSE-1
CSE,ENGINEERING PHYSICS,de Broglie hypothesis of matter waves around the atom,PhysicsHigh,https://www.youtube.com/watch?v=NOY_hdV-Z9Y,1.0.4,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Matter as a Wave,Bozeman Science,https://www.youtube.com/watch?v=caVIh3RZOA4,1.0.5,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Unit 1st | L1.6 Phase(wave) velocity &amp; Group velocity | Engg. Physics 2nd sem. | by Lalit sir #aktu,Engineers GateWay,https://www.youtube.com/watch?v=t--C-834dhk,1.0.6,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Lec-6 I Schrodinger Equations I UnIT-1 I Quantum Mechanics I by Anjali ma&#39;am,GateWay Classes,https://www.youtube.com/watch?v=RL7LILWpg6k,1.0.7,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Time Independent Schrodinger Wave Equation | Schrodinger Time Independent wave Equation | Aktu,JSSB FOR PHYSICS,https://www.youtube.com/watch?v=G4RQ4j4jiqQ,1.0.8,1,1,CSE-1
CSE,ENGINEERING PHYSICS,"Physical Significance of Wave function, Probability Density &amp; Properties of wave function",Ravi C.B,https://www.youtube.com/watch?v=k_foMAy_Gu4,1.0.9,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Particle in a one dimensional box | Dr. Preema C Thomas | Department of Physics,CMS College Kottayam,https://www.youtube.com/watch?v=WqUrSV3VBZ0,1.1.0,1,1,CSE-1
CSE,ENGINEERING PHYSICS,Stoke&#39;s Theorem! Stokes Theorem in Hindi #bedkdian #mjpru #bsc #bsc1stsemester,Be DKDian,https://www.youtube.com/watch?v=oXRIWN1UFms,2.0.1,2,1,CSE-1
CSE,ENGINEERING PHYSICS,Continuity equation for current density By Dr Anchala,Anchala Kumari,https://www.youtube.com/watch?v=E_4BJmZ41c4,2.0.3,2,1,CSE-1
CSE,ENGINEERING PHYSICS,Maxwell&#39;s Equations for Electromagnetism Explained in under a Minute!,Physics Teacher,https://www.youtube.com/watch?v=LYytSXnSCOI,2.0.4,2,1,CSE-1
CSE,ENGINEERING PHYSICS,Maxwell&#39;s Equations in Vacuum,Alfredo Narváez,https://www.youtube.com/watch?v=Zi6TXWh9Mt8,2.0.5,2,1,CSE-1
CSE,ENGINEERING PHYSICS,8.02x - Module 12.01 - EM Plane Waves - Poynting Vector - E-fields - B fields - Wavelength,Lectures by Walter Lewin. They will make you ♥ Physics.,https://www.youtube.com/watch?v=G6QryRlKbR4,2.0.6,2,1,CSE-1
CSE,ENGINEERING PHYSICS,L - 11 | Unit - 2 | Transverse nature of EM wave | Engineering Physics,AKTU Shiksha,https://www.youtube.com/watch?v=FgQZUe4mbzE,2.0.7,2,1,CSE-1
CSE,ENGINEERING PHYSICS,Unit 2nd | L2.9 EM wave equation | Engg. Physics |by Lalit sir #emft #current #physics #virul,Engineers GateWay,https://www.youtube.com/watch?v=hV3jclV-dw4,2.0.8,2,1,CSE-1
CSE,ENGINEERING PHYSICS,newton’s rings,Eduphile,https://www.youtube.com/watch?v=d3AMmzwO8Lw,3.0.2,3,1,CSE-1
CSE,ENGINEERING PHYSICS,"Interference, Reflection, and Diffraction",Professor Dave Explains,https://www.youtube.com/watch?v=eW5VGGJuWtQ,3.0.3,3,1,CSE-1
CSE,ENGINEERING PHYSICS,"Fraunhofer&#39;s Diffraction due to Single Slit, Full Derivation, #aktu #btech #bcs",aline physics,https://www.youtube.com/watch?v=877Xciqzrgk,3.0.4,3,1,CSE-1
CSE,ENGINEERING PHYSICS,Absent Spectra in Diffraction,Ekeeda,https://www.youtube.com/watch?v=WhbvdzJX-J0,3.0.5,3,1,CSE-1
